seed,learn_rate,model_type,train_pairs,dev_pairs,test_pairs,epoch_num,loss_train,loss_dev,loss_test,rho_dev,rho_p_dev,pcc_dev,pcc_p_dev,tau_dev,tau_p_dev,rho_dev_global,pcc_dev_global,tau_dev_global,rho_test,rho_p_test,pcc_test,pcc_p_test,tau_test,tau_p_test,rho_test_global,pcc_test_global,tau_test_global,rho_train,rho_p_train,pcc_train,pcc_p_train,tau_train,tau_p_train,rho_train_global,pcc_train_global,"tau_train_global
"
1,0.3,linear,18901,4667,5776,0,0.6968615090383088,0.6938773103772777,0.6992963730300987,-0.09028328395595503,0.3979555765880902,-0.13469301465185676,0.35854300363093367,-0.07577213268931618,0.3763626953893876,-0.11869677271806599,-0.14550808327676143,-0.08878932247626452,-0.009251376259300781,0.290420144583938,-0.03197420192908432,0.3566653042142952,-0.0061160570958756905,0.298870410057181,-0.015758434204361543,-0.09037512594098428,-0.010412331869591937,-0.21333072297920844,0.24017084935412852,-0.22847858286057118,0.33290275073785214,-0.16697291309990653,0.23793181994314053,-0.216951468899915,-0.24377108754187463,-0.16086545910690578
1,0.3,linear,18901,4667,5776,1,10.919754253829595,11.265438334582603,11.475798472515127,0.14250657434505432,0.3854598119879895,0.12737012959183677,0.37853064925910307,0.12166323946062269,0.39660366947267567,0.125392631820803,0.10774963338127709,0.09428167291430439,0.12659687610871817,0.4819957896611229,0.10692460263139011,0.32855956426951827,0.10498154151603202,0.47097281021881643,0.12078216006301296,0.02873458930466802,0.09151282787608024,0.008355572070507956,0.30055221392284376,0.02777417290445321,0.29329375809817015,0.008786448560407964,0.28458928198977074,-0.03385025985316403,-0.06670224361908403,-0.028379304853958964
1,0.3,linear,18901,4667,5776,2,10.756240430015396,11.261401375679121,11.444203803552448,0.14250657434505432,0.3854598119879895,0.12757073277711578,0.3786610006257835,0.12166323946062269,0.39660366947267567,0.12603204072135024,0.10812443242990002,0.09471547301583633,0.12659687610871817,0.4819957896611229,0.10715864622929928,0.3284311705279459,0.10498154151603202,0.47097281021881643,0.12164820214742317,0.028973866858746613,0.09220698333405304,0.008355572070507956,0.30055221392284376,0.02794695938561942,0.293211573771595,0.008786448560407964,0.28458928198977074,-0.03385025985316403,-0.06660957276229294,-0.028379304853958964
1,0.3,linear,18901,4667,5776,3,10.745069825709773,11.28658748652837,11.396623656236006,0.14569284781986794,0.3798759162365639,0.12778522201011738,0.37861497781841225,0.12454774740075183,0.3905701783715097,0.1264385444686687,0.10853954727120511,0.09503163241186809,0.12659687610871817,0.4819957896611229,0.10734642120939375,0.32772965484879857,0.10498154151603202,0.47097281021881643,0.12528435047345757,0.029263504940227975,0.09463652743695783,0.008355572070507956,0.30055221392284376,0.02821865896402332,0.29326077408584206,0.008786448560407964,0.28458928198977074,-0.03385025985316403,-0.06642324478706087,-0.028379304853958964
1,0.3,linear,18901,4667,5776,4,10.737552193820779,11.286397976418064,11.390052286959484,0.14569284781986794,0.3798759162365639,0.1277881858941256,0.37863563352261187,0.12454774740075183,0.3905701783715097,0.126246683416389,0.1085534661245864,0.09492134425046166,0.12659687610871817,0.4819957896611229,0.10731431853580352,0.3277913289655715,0.10498154151603202,0.47097281021881643,0.12528435047345757,0.02926394226956085,0.09463652743695783,0.008355572070507956,0.30055221392284376,0.028224788999969885,0.29326894426683847,0.008786448560407964,0.28458928198977074,-0.03385025985316403,-0.06642901875212213,-0.028379304853958964
1,0.3,linear,18901,4667,5776,5,10.734486043352362,11.287462668876126,11.386300084340638,0.14569284781986794,0.3798759162365639,0.12778228693461602,0.3786642911973887,0.12454774740075183,0.3905701783715097,0.12623858602814747,0.1085540253687321,0.09492134425046166,0.12659687610871817,0.4819957896611229,0.1072735509036218,0.3278669389199236,0.10498154151603202,0.47097281021881643,0.12528435047345757,0.029246924419334536,0.09463652743695783,0.008355572070507956,0.30055221392284376,0.028227418034887215,0.2932715604511859,0.008786448560407964,0.28458928198977074,-0.03385025985316403,-0.06643934863477659,-0.028379304853958964
1,0.3,linear,18901,4667,5776,6,10.735613101630042,11.285699507961535,11.395885588714432,0.1489164552384092,0.3903444098656019,0.12776662557799456,0.3786931381500924,0.127873491486785,0.4048623711297214,0.12664200682489687,0.10854089229867399,0.0952007409260246,0.12659687610871817,0.4819957896611229,0.10722217962498337,0.327956439300202,0.10498154151603202,0.47097281021881643,0.12528435047345757,0.029216625728462196,0.09463652743695783,0.008355572070507956,0.30055221392284376,0.0282304602150363,0.29327240097245394,0.008786448560407964,0.28458928198977074,-0.03385025985316403,-0.06645120410473096,-0.028379304853958964
1,0.3,linear,18901,4667,5776,7,10.730078559236478,11.289721508548684,11.397764221739374,0.1489164552384092,0.3903444098656019,0.12772703949621922,0.37870778714129955,0.127873491486785,0.4048623711297214,0.12672253497951919,0.10849449443297587,0.09520809347011835,0.12659687610871817,0.4819957896611229,0.10715548428274507,0.32806346262883396,0.10498154151603202,0.47097281021881643,0.12528435047345757,0.029159959010685858,0.09463652743695783,0.008355572070507956,0.30055221392284376,0.02823813780429244,0.293275224332855,0.008786448560407964,0.28458928198977074,-0.03385025985316403,-0.06645977362945371,-0.028379304853958964
1,0.3,linear,18901,4667,5776,8,10.713718640622753,11.289306101733692,11.415744328367117,0.1489164552384092,0.3903444098656019,0.12766708672129667,0.3787067655035012,0.127873491486785,0.4048623711297214,0.12662526727,0.10842718209936619,0.09511251039689947,0.12659687610871817,0.4819957896611229,0.10704621828029554,0.3282253215445265,0.10498154151603202,0.47097281021881643,0.12528435047345757,0.02908036542243106,0.09463652743695783,0.008355572070507956,0.30055221392284376,0.02827168767138466,0.29329341056846336,0.008786448560407964,0.28458928198977074,-0.03385025985316403,-0.0664557961049133,-0.028379304853958964
1,0.3,linear,18901,4667,5776,9,10.69535598496697,11.131766335604942,11.381086244108927,0.1499353340186872,0.3865603897958168,0.12736530256146572,0.3787116510102259,0.12890997039584284,0.3999655453628398,0.12627991489963103,0.10810808948533132,0.09476694082449266,0.12659687610871817,0.4819957896611229,0.1063966059153832,0.3290210686139172,0.10498154151603202,0.47097281021881643,0.12350850353973343,0.028668648025749713,0.09336390909734103,0.010636307491329986,0.3081871788803946,0.028389093302345653,0.293705361957662,0.010224985746627977,0.3016051789987745,-0.033544823070212046,-0.06646837699862296,-0.028305207452251506
