preferences,seed,learn_rate,model_type,train_pairs,dev_pairs,test_pairs,epoch_num,loss_train,loss_dev,loss_test,rho_train,rho_p_train,pcc_train,pcc_p_train,tau_train,tau_p_train,rho_train_global,pcc_train_global,tau_train_global,rho_dev,rho_p_dev,pcc_dev,pcc_p_dev,tau_dev,tau_p_dev,rho_dev_global,pcc_dev_global,tau_dev_global,rho_test,rho_p_test,pcc_test,pcc_p_test,tau_test,tau_p_test,rho_test_global,pcc_test_global,tau_test_global
majority,1,0.001,linear,627,150,186,33,0.492487495,0.637197506,0.725967526,0.624162605,0.017512628,0.665507351,0.003616458,0.52949248,0.017563294,0.642393947,0.647589071,0.502752789,0.368703542,0.169465151,0.418644977,0.085197136,0.297388219,0.171330337,0.409143953,0.405675231,0.31073556,0.213793563,0.207920179,0.209650575,0.186519322,0.183712588,0.205666732,0.195290489,0.173234761,0.147011663
majority,1,0.001,linear,627,150,186,2,0.622665629,0.637596512,0.676465174,0.44376516,0.131893918,0.479832558,0.09993168,0.367035603,0.13168113,0.513013417,0.508409531,0.39439667,0.397710187,0.096948636,0.396817365,0.07910815,0.320729832,0.096535749,0.401399407,0.388154856,0.304761618,0.155246488,0.15697717,0.192590729,0.144332749,0.121902321,0.155725269,0.16062779,0.150644412,0.119653789
majority,1,0.001,linear,627,150,186,46,0.48522168,0.637617671,0.735738407,0.633579696,0.012180897,0.673699721,0.00277886,0.536323027,0.011922928,0.646442846,0.652344163,0.506914064,0.367169781,0.124047902,0.417836534,0.07672144,0.294517109,0.130316161,0.428922925,0.417015572,0.324486459,0.199816203,0.159495658,0.196609841,0.155584399,0.165618382,0.162868931,0.170231448,0.161590078,0.127239365
majority,1,0.001,linear,627,150,186,40,0.486104338,0.638072658,0.729061753,0.630670246,0.013359401,0.670989236,0.003048017,0.533394959,0.013160566,0.644705791,0.650559239,0.505178376,0.341648927,0.181380132,0.417020221,0.083859221,0.273514142,0.183532835,0.4106288,0.410289867,0.31134793,0.198646903,0.229126663,0.204400158,0.178211595,0.169641562,0.240398869,0.185984685,0.168407637,0.139786147
majority,1,0.001,linear,627,150,186,32,0.494557837,0.638335431,0.71931994,0.62463984,0.017082365,0.664306043,0.003769912,0.528852495,0.017511777,0.641154217,0.64620267,0.501347706,0.378870615,0.165798083,0.418653732,0.082706954,0.305828704,0.167327234,0.412683525,0.407990069,0.313954769,0.200276143,0.20487918,0.209109655,0.183149565,0.179468682,0.203686212,0.187947072,0.172511798,0.14058938
majority,1,0.001,linear,627,150,186,37,0.4906775,0.639011133,0.728860269,0.62902959,0.013170787,0.668894688,0.003310635,0.533284334,0.012946823,0.643914525,0.649639237,0.504321162,0.374586969,0.176054008,0.417338684,0.083589927,0.300772868,0.176407625,0.413216584,0.409279523,0.313460594,0.205764859,0.183347893,0.20662512,0.177764983,0.17339874,0.186960551,0.190729474,0.170981296,0.143521459
majority,1,0.001,linear,627,150,186,38,0.489115319,0.639181125,0.733197639,0.632304157,0.013065318,0.669422129,0.003203629,0.5352858,0.012864617,0.643611832,0.649719026,0.504051726,0.378880113,0.168727654,0.418808785,0.080781962,0.30832825,0.169281573,0.416059968,0.411009072,0.316351231,0.196544083,0.174165483,0.203534541,0.173023058,0.165710636,0.175270937,0.189415382,0.168224628,0.142415237
majority,1,0.001,linear,627,150,186,36,0.490108643,0.63947432,0.730331302,0.629374098,0.013375204,0.668095482,0.003356686,0.532061076,0.013192397,0.642997866,0.64876688,0.503300628,0.380082073,0.165764348,0.417819974,0.083626878,0.307305475,0.165993344,0.412184884,0.408538481,0.312496188,0.176235935,0.231571657,0.205334647,0.178548214,0.150621726,0.239889246,0.185294892,0.168709931,0.139034269
majority,1,0.001,linear,627,150,186,50,0.48298251,0.640455055,0.74220714,0.637529836,0.012251208,0.676106197,0.002572483,0.542318226,0.012373858,0.648458732,0.654316778,0.509050759,0.387256725,0.099664545,0.415524222,0.081241607,0.313583583,0.102116729,0.425573772,0.415200945,0.323585982,0.217836931,0.237028211,0.198535677,0.173818483,0.179188531,0.24229639,0.174150845,0.164984034,0.132238583
majority,1,0.001,linear,627,150,186,45,0.486121505,0.641297412,0.737536689,0.633215795,0.012299602,0.673908603,0.002740601,0.537027867,0.012303972,0.646643384,0.652935474,0.507156309,0.34347396,0.186998725,0.416426602,0.082085857,0.277610824,0.187156765,0.4161035,0.411938676,0.317060976,0.208370477,0.231858207,0.199620532,0.175641865,0.171365854,0.231669381,0.176428513,0.165761756,0.133410583
majority,1,0.001,linear,627,150,186,42,0.485617299,0.642675805,0.734203448,0.628848546,0.012925437,0.672176343,0.002917121,0.531232485,0.013227154,0.64573565,0.651221188,0.505977251,0.348071649,0.192871262,0.416160539,0.079702496,0.282341683,0.196626671,0.417875551,0.413388713,0.317599083,0.190605458,0.186830771,0.199314136,0.163617252,0.159671755,0.191134732,0.17914275,0.164672055,0.135331626
majority,1,0.001,linear,627,150,186,44,0.485808441,0.642816317,0.737130304,0.632986776,0.012464038,0.673273414,0.002831984,0.535334091,0.012543162,0.646300821,0.652045069,0.506555121,0.353714531,0.180086923,0.416451196,0.081205507,0.287618234,0.181025459,0.417278098,0.413587422,0.316877671,0.20956201,0.184275577,0.200584687,0.16908303,0.17674757,0.191615029,0.181330018,0.165683127,0.137062966
majority,1,0.001,linear,627,150,186,43,0.486625238,0.64302516,0.736912509,0.628801606,0.01328862,0.672574791,0.002882808,0.532952679,0.013042314,0.645217943,0.65154506,0.505739942,0.35171488,0.181487252,0.417119599,0.080207719,0.283310967,0.185166927,0.41489413,0.413743866,0.315549811,0.195994391,0.194968219,0.200205026,0.166963116,0.16447811,0.20794734,0.180850044,0.165057941,0.136636425
majority,1,0.001,linear,627,150,186,49,0.482258733,0.643574548,0.741494427,0.632705663,0.012072636,0.675671476,0.002603296,0.538162344,0.01213041,0.64811137,0.654021812,0.508587984,0.393091866,0.089644318,0.41621411,0.079578636,0.321226241,0.087764829,0.425382147,0.416022476,0.323131618,0.21864919,0.203662186,0.198201864,0.167530298,0.179188248,0.206290889,0.172091388,0.164743833,0.13008232
majority,1,0.001,linear,627,150,186,41,0.486494911,0.644574833,0.733649284,0.632525588,0.012556626,0.671411403,0.0029745,0.535729519,0.012580806,0.644810857,0.651027171,0.505196425,0.35500097,0.186074808,0.41766313,0.081050626,0.287350718,0.18615,0.411571667,0.411995526,0.313063801,0.202244852,0.190837483,0.200997483,0.170193643,0.172453698,0.20284344,0.183516829,0.164888218,0.138601205
majority,1,0.001,linear,627,150,186,48,0.483557257,0.644960237,0.741708914,0.635904214,0.012090908,0.67521427,0.002642009,0.540172332,0.011922805,0.647022019,0.65339556,0.507458858,0.393016486,0.090427498,0.416677308,0.079047509,0.318371626,0.091379151,0.428831629,0.416376421,0.324767318,0.211563857,0.218177351,0.1966035,0.164729876,0.173651283,0.213021895,0.175070417,0.163175887,0.131339168
majority,1,0.001,linear,627,150,186,47,0.48453903,0.646830761,0.741361201,0.637347996,0.012196285,0.675027945,0.002673481,0.541650355,0.01222574,0.647569133,0.65380707,0.508189953,0.342551791,0.193953087,0.415745135,0.083926659,0.275225462,0.194699483,0.414695206,0.412676984,0.315476084,0.210472314,0.271982795,0.200670443,0.179140438,0.173986022,0.271525897,0.181059721,0.166846754,0.135856614
majority,1,0.001,linear,627,150,186,1,0.666784006,0.658313024,0.699203283,0.363529475,0.224473862,0.385953124,0.218384803,0.298837872,0.222745563,0.416625507,0.40624046,0.316297729,0.354433325,0.16129811,0.290669464,0.134934731,0.284017575,0.147365213,0.314747971,0.318881608,0.24367449,0.092651964,0.225823293,0.107334181,0.180930642,0.068270106,0.219957764,0.046057884,0.027094612,0.033995237
majority,1,0.001,linear,627,150,186,0,0.697967768,0.693826807,0.700832725,-0.089475234,0.398047869,-0.134693016,0.358543206,-0.074551496,0.3783167,-0.118653678,-0.145508037,-0.088741899,-0.012070989,0.291749819,-0.031974471,0.356664627,-0.009173552,0.299980536,-0.016112131,-0.090375292,-0.010753438,-0.211872344,0.241436256,-0.228478711,0.332902961,-0.165709925,0.235102652,-0.216830211,-0.243771188,-0.160750033
