preferences,seed,learn_rate,model_type,train_pairs,dev_pairs,test_pairs,epoch_num,loss_train,loss_dev,loss_test,rho_train,rho_p_train,pcc_train,pcc_p_train,tau_train,tau_p_train,rho_train_global,pcc_train_global,tau_train_global,rho_dev,rho_p_dev,pcc_dev,pcc_p_dev,tau_dev,tau_p_dev,rho_dev_global,pcc_dev_global,tau_dev_global,rho_test,rho_p_test,pcc_test,pcc_p_test,tau_test,tau_p_test,rho_test_global,pcc_test_global,tau_test_global
majority,1,1.00E-05,deep,627,150,186,10,0.639125383,0.662125218,0.684463859,0.423442165,0.165221315,0.454410879,0.13362355,0.35287972,0.155399947,0.492319944,0.486974959,0.377049978,0.387282744,0.098086562,0.365444326,0.132988291,0.310137673,0.098418344,0.364337809,0.354610946,0.280181664,0.164161075,0.17191098,0.180327643,0.125678073,0.130908919,0.164511524,0.124333159,0.097646113,0.091465695
majority,1,1.00E-05,deep,627,150,186,9,0.643592674,0.663879466,0.686438829,0.423117145,0.16975625,0.446275782,0.143131767,0.35217567,0.162677064,0.485056451,0.479390935,0.371555693,0.38641879,0.130854641,0.352829585,0.158554648,0.312644705,0.129170285,0.349172697,0.346535826,0.267584285,0.170710473,0.166543421,0.175156657,0.13027572,0.135382753,0.159127786,0.112429579,0.089116296,0.083287333
majority,1,1.00E-05,deep,627,150,186,8,0.64783048,0.667709816,0.688013047,0.415948585,0.17590741,0.431720098,0.156795438,0.345963554,0.166637668,0.471234364,0.465405734,0.360514044,0.341045017,0.193644092,0.328369606,0.21104339,0.275346997,0.181966377,0.32208768,0.331000942,0.246346234,0.147698112,0.156602102,0.166716591,0.13885827,0.115689565,0.147437769,0.105658757,0.075451033,0.078317272
majority,1,1.00E-05,deep,627,150,186,7,0.652337602,0.669188809,0.689065337,0.405628874,0.185545681,0.422311227,0.165107068,0.334989694,0.184026391,0.462120092,0.456542242,0.35295197,0.324783399,0.216891627,0.312861488,0.194391757,0.261617115,0.201903079,0.3181384,0.320322918,0.243069217,0.137752816,0.135101215,0.161813756,0.143605508,0.107619817,0.119774491,0.09100482,0.067022738,0.066537587
majority,1,1.00E-05,deep,627,150,186,6,0.656942421,0.671894455,0.689444373,0.412019231,0.167625487,0.417772822,0.169903219,0.340723671,0.16773686,0.456725575,0.452533339,0.348967675,0.308990607,0.221928023,0.302606438,0.192644307,0.251358915,0.205790651,0.304407505,0.311180904,0.232852954,0.138165803,0.132034335,0.158081799,0.149416018,0.107100264,0.116018853,0.086945179,0.060888847,0.063580586
majority,1,1.00E-05,deep,627,150,186,5,0.662384954,0.674970043,0.6906162,0.384459171,0.206929318,0.398223626,0.190225193,0.31628626,0.209697164,0.434721445,0.432244587,0.331266756,0.293913405,0.244703983,0.273422863,0.184280588,0.238343025,0.223091543,0.281400815,0.285103196,0.213523934,0.128102376,0.173463065,0.150103714,0.159290074,0.098233271,0.164353474,0.064546012,0.044918086,0.047322091
majority,1,1.00E-05,deep,627,150,186,4,0.668443438,0.678862453,0.691120267,0.365114081,0.180297453,0.387537839,0.201426496,0.300666119,0.191756156,0.426128012,0.422498386,0.324101913,0.250327833,0.223632846,0.256968548,0.188714989,0.200763851,0.223340443,0.258956095,0.26571734,0.194486911,0.143783062,0.223609917,0.145118871,0.169333296,0.110741471,0.216712274,0.063039761,0.035567293,0.047065186
majority,1,1.00E-05,deep,627,150,186,3,0.674106193,0.682225192,0.692105144,0.347803046,0.174771056,0.376254524,0.205689967,0.284829032,0.182677579,0.417734451,0.411822214,0.317921675,0.246026373,0.219390558,0.242737355,0.210359056,0.194108541,0.218000477,0.237490719,0.237697808,0.177685392,0.144420823,0.22785919,0.145495537,0.180194311,0.11195877,0.222382496,0.063095751,0.030657461,0.046768186
majority,1,1.00E-05,deep,627,150,186,2,0.681327531,0.685714078,0.691786855,0.337520733,0.180318823,0.368509788,0.200082521,0.279674158,0.186966811,0.412393746,0.40601495,0.313760887,0.247171948,0.269011968,0.225835725,0.241676481,0.195696792,0.26994214,0.219207055,0.202217173,0.161475013,0.143717278,0.182866254,0.150459076,0.193076485,0.109743387,0.182545896,0.0685341,0.029980447,0.051438073
majority,1,1.00E-05,deep,627,150,186,1,0.689717239,0.690426826,0.69273744,0.315266435,0.231261082,0.359060749,0.179902196,0.259890331,0.230831659,0.416295498,0.396272805,0.316584596,0.220823696,0.367593709,0.198064676,0.361767082,0.175756607,0.380818503,0.155713677,0.118449428,0.115284388,0.169323535,0.172171896,0.18279748,0.146376531,0.130586033,0.169492832,0.079243663,0.034366217,0.06176812
